 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.61,  0.17,                                                      --------++++++++,  0.000,  0
 5,  0.61,  0.15,                                                       -------+++++++,  0.599570160187937,  9
 6,  0.59,  0.14,                                                       ------++++++,  0.5205809185296139,  10
 7,  0.58,  0.13,                                                     ------++++++,  0.4836785063001973,  28
 8,  0.56,  0.13,                                                    ------++++++,  0.44915892314250055,  41
 9,  0.56,  0.12,                                                   ------++++++,  0.5151322198200354,  59
 10,  0.55,  0.12,                                                   -----+++++,  0.48810412939124304,  80
 11,  0.54,  0.11,                                                   -----+++++,  0.46948549832268416,  90
 12,  0.54,  0.11,                                                   -----+++++,  0.5162834610546507,  137
 13,  0.53,  0.11,                                                  -----+++++,  0.4479229985724873,  159
 14,  0.53,  0.11,                                                 -----+++++,  0.4227155814832945,  167
 15,  0.53,  0.10,                                                 -----+++++,  0.5491621322136688,  320
 16,  0.52,  0.10,                                                 -----+++++,  0.46667509847801336,  376
 17,  0.52,  0.10,                                                  ----++++,  0.5032954997836561,  385
 18,  0.51,  0.10,                                                 ----++++,  0.3926145121152849,  393
