 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.610,  0.169,                                                      --------++++++++,  0.000,  0
 5,  0.583,  0.158,                                                     -------+++++++,  0.478,  1
 6,  0.548,  0.165,                                                --------++++++++,  0.371,  2
 7,  0.528,  0.160,                                               -------+++++++,  0.410,  3
 8,  0.497,  0.173,                                           --------++++++++,  0.277,  4
 9,  0.479,  0.170,                                         --------++++++++,  0.335,  5
 10,  0.474,  0.161,                                         --------++++++++,  0.429,  6
 11,  0.476,  0.153,                                          -------+++++++,  0.503,  7
 12,  0.464,  0.152,                                         -------+++++++,  0.329,  8
 13,  0.461,  0.146,                                         -------+++++++,  0.422,  9
 14,  0.457,  0.141,                                        -------+++++++,  0.407,  10
 15,  0.452,  0.137,                                         ------++++++,  0.384,  11
 16,  0.448,  0.134,                                        ------++++++,  0.386,  12
 17,  0.441,  0.133,                                        ------++++++,  0.324,  13
 18,  0.448,  0.133,                                        ------++++++,  0.575,  14
 19,  0.445,  0.130,                                        ------++++++,  0.385,  15
 20,  0.443,  0.127,                                        ------++++++,  0.403,  16
 21,  0.448,  0.126,                                        ------++++++,  0.562,  17
 22,  0.439,  0.131,                                       ------++++++,  0.242,  18
 23,  0.428,  0.138,                                      ------++++++,  0.193,  19
 24,  0.430,  0.135,                                       ------++++++,  0.473,  20
 25,  0.421,  0.141,                                     -------+++++++,  0.190,  21
 26,  0.421,  0.138,                                      ------++++++,  0.437,  22
 27,  0.413,  0.142,                                    -------+++++++,  0.195,  23
 28,  0.415,  0.140,                                     ------++++++,  0.473,  24
 29,  0.411,  0.139,                                     ------++++++,  0.298,  25
 30,  0.412,  0.137,                                     ------++++++,  0.450,  26
