 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.610,  0.169,                                                      --------++++++++,  0.000,  0
 5,  0.573,  0.167,                                                   --------++++++++,  0.427,  3
 6,  0.552,  0.158,                                                  -------+++++++,  0.449,  7
 7,  0.537,  0.150,                                                -------+++++++,  0.441,  8
 8,  0.544,  0.141,                                                 -------+++++++,  0.600,  9
 9,  0.542,  0.132,                                                  ------++++++,  0.521,  10
 10,  0.535,  0.126,                                                 ------++++++,  0.478,  11
 11,  0.519,  0.131,                                               ------++++++,  0.357,  12
 12,  0.520,  0.125,                                                ------++++++,  0.534,  13
 13,  0.506,  0.130,                                              ------++++++,  0.335,  15
 14,  0.504,  0.126,                                              ------++++++,  0.474,  17
 15,  0.494,  0.127,                                             ------++++++,  0.352,  19
 16,  0.489,  0.125,                                            ------++++++,  0.414,  20
 17,  0.494,  0.122,                                             ------++++++,  0.572,  24
 18,  0.493,  0.119,                                              -----+++++,  0.484,  28
 19,  0.489,  0.117,                                             -----+++++,  0.415,  30
 20,  0.495,  0.117,                                              -----+++++,  0.619,  31
 21,  0.494,  0.114,                                              -----+++++,  0.473,  33
 22,  0.493,  0.112,                                              -----+++++,  0.458,  34
 23,  0.489,  0.111,                                             -----+++++,  0.402,  36
 24,  0.479,  0.118,                                            -----+++++,  0.260,  37
 25,  0.478,  0.116,                                            -----+++++,  0.449,  41
 26,  0.472,  0.117,                                            -----+++++,  0.324,  42
 27,  0.469,  0.116,                                           -----+++++,  0.383,  43
 28,  0.472,  0.116,                                            -----+++++,  0.562,  44
 29,  0.471,  0.114,                                            -----+++++,  0.450,  48
 30,  0.468,  0.113,                                           -----+++++,  0.383,  50
