4,0.62,0.07,                                                          ---+++
5,0.58,0.10,                                                      ----++++
6,0.59,0.09,                                                      ----++++
7,0.56,0.10,                                                    ----++++
8,0.55,0.10,                                                 -----+++++
9,0.53,0.11,                                                -----+++++
10,0.52,0.11,                                              -----+++++
11,0.51,0.11,                                             -----+++++
12,0.50,0.11,                                             -----+++++
13,0.50,0.10,                                             -----+++++
14,0.51,0.10,                                              -----+++++
15,0.50,0.12,                                            -----+++++
16,0.50,0.11,                                            -----+++++
17,0.50,0.11,                                             -----+++++
18,0.50,0.11,                                            -----+++++
19,0.50,0.11,                                            -----+++++
20,0.49,0.11,                                            -----+++++
21,0.49,0.10,                                            -----+++++
22,0.49,0.10,                                            -----+++++
23,0.49,0.10,                                             ----++++
24,0.50,0.10,                                             ----++++
25,0.49,0.10,                                             ----++++
26,0.51,0.12,                                             -----+++++
27,0.50,0.12,                                             -----+++++
28,0.50,0.12,                                             -----+++++
29,0.51,0.12,                                             ------++++++
30,0.51,0.12,                                              -----+++++
