#
 0,           UCB_GPM,20,  0.23,  0.08,  * -------          |                   ,  0.20,  0.40, 295.38
 0,    LINEAR/exploit,20,  0.25,  0.12,   *   ----          |                   ,  0.20,  0.40, 18.00
 0,       LLM/exploit,20,  0.25,  0.20,   *                 |                   ,  0.20,  0.40, 49.72
 0,       LLM/explore,20,  0.25,  0.15,   *     --          |                   ,  0.20,  0.40, 46.42
#
 1,           exploit,20,  0.32,  0.15, --    *             |                   ,  0.20,  0.40, 3.06
#
 2,               rrp,12,  0.40,  0.18,   --------*        -|---------          ,  0.22,  0.80, 5.44
 2,            random,20,  0.40,  0.08, ------    *         |                   ,  0.20,  0.40, 0.00
 2,           explore,20,  0.40,  0.09, -----     *         |                   ,  0.20,  0.40, 4.33
#
 3,    LINEAR/explore,20,  0.40,  0.03,   ------  *         |                   ,  0.23,  0.40, 17.87
#
 4,        baseline,1599,  0.60,  0.20,                     *                   ,  0.20,  1.00, 0.00
