#
 0,            EI_GPM,20,  0.23,  0.02,            -*       |                   ,  0.02,  0.26, 5649.44
 0,            PI_GPM,20,  0.23,  0.02,            -*----   |                   ,  0.00,  0.39, 5163.49
 0,            PI_GPM,25,  0.23,  0.02,            -*-------|                   ,  0.00,  0.42, 451.08
 0,            PI_GPM,30,  0.24,  0.02,   ----------*-------|                   ,  0.00,  0.41, 448.86
 0,            EI_GPM,30,  0.24,  0.01,            -*-------|                   ,  0.22,  0.42, 451.50
 0,           UCB_GPM,30,  0.24,  0.01,            -*       |                   ,  0.00,  0.27, 443.35
 0,            EI_GPM,25,  0.24,  0.01,              *------|                   ,  0.04,  0.42, 448.85
 0,           UCB_GPM,20,  0.25,  0.01,            --*-     |                   ,  0.00,  0.38, 5899.32
 0,    gemini/exploit,30,  0.25,  0.03,              *------|-                  ,  0.22,  0.42, 238.05
 0,           UCB_GPM,25,  0.25,  0.02,            - *----- |                   ,  0.21,  0.39, 455.95
#
 1,               rrp,17,  0.26,  0.12,             -*      |--                 ,  0.22,  0.46, 494.34
 1,       gpt/exploit,30,  0.27,  0.14,             - *     |--                 ,  0.21,  0.70, 432.89
 1,           exploit,25,  0.28,  0.13,             -  *    |--                 ,  0.23,  0.44, 27.85
 1,            random,30,  0.28,  0.06,             -- * ---|---                ,  0.07,  0.46, 0.00
 1,               TPE,30,  0.30,  0.03,              -  *---|-                  ,  0.22,  0.44, 5623.33
#
 2,            random,25,  0.31,  0.07,              -- * --|--                 ,  0.03,  0.45, 0.00
 2,               TPE,25,  0.31,  0.07,              -- *  -|-                  ,  0.24,  0.45, 5058.71
 2,           exploit,20,  0.34,  0.16,             -     * | -                 ,  0.22,  0.43, 26.35
 2,       gpt/exploit,20,  0.34,  0.12,              -    * |--                 ,  0.23,  0.49, 428.24
 2,               TPE,20,  0.35,  0.11,               --  * | --                ,  0.21,  0.46, 21163.68
 2,    gemini/exploit,25,  0.36,  0.14,             -      *|-                  ,  0.23,  0.68, 226.89
 2,    gemini/exploit,20,  0.37,  0.12,              -     *|--                 ,  0.23,  0.46, 229.99
 2,       gpt/exploit,25,  0.37,  0.13,             --      *--                 ,  0.21,  0.44, 432.03
 2,           exploit,30,  0.38,  0.16,             -       * ------            ,  0.22,  0.65, 26.93
#
 3,       gpt/explore,30,  0.39,  0.13,               --    *  -----            ,  0.22,  0.52, 435.32
 3,            random,20,  0.41,  0.15,              --     | *--               ,  0.23,  0.47, 0.00
#
 4,           explore,25,  0.41,  0.09,               ------| *  --             ,  0.26,  0.54, 27.71
 4,       gpt/explore,20,  0.44,  0.04,              -------|- *----            ,  0.24,  0.60, 428.79
 4,           explore,20,  0.45,  0.07,                -----|-  *---            ,  0.25,  0.55, 26.70
 4,    gemini/explore,30,  0.45,  0.09,               ------|   * ---           ,  0.24,  0.55, 233.61
 4,           explore,30,  0.45,  0.09,                 ----|   *---            ,  0.25,  0.53, 26.46
 4,       gpt/explore,25,  0.45,  0.14,              ----   |   *--             ,  0.25,  0.62, 435.89
 4,    gemini/explore,20,  0.46,  0.07,                -----|-  * ----          ,  0.24,  0.74, 227.89
 4,    gemini/explore,25,  0.46,  0.09,               ------|    *-             ,  0.26,  0.51, 230.54
#
 5,       baseline,86058,  0.47,  0.06,                -----|--  *---           ,  0.04,  0.61, 1.11
