 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.525,  0.038,                                                     -+,  0.000,  0
 5,  0.525,  0.033,                                                     -+,  0.525,  4
 6,  0.534,  0.038,                                                      -+,  0.583,  5
 7,  0.535,  0.035,                                                      -+,  0.539,  6
 8,  0.538,  0.033,                                                      -+,  0.557,  7
 9,  0.550,  0.048,                                                      --++,  0.647,  8
 10,  0.549,  0.045,                                                      --++,  0.539,  10
 11,  0.544,  0.046,                                                      --++,  0.491,  12
 12,  0.540,  0.046,                                                     --++,  0.496,  16
 13,  0.538,  0.045,                                                     --++,  0.519,  18
 14,  0.533,  0.048,                                                     --++,  0.461,  21
 15,  0.527,  0.050,                                                    --++,  0.457,  22
 16,  0.525,  0.049,                                                    --++,  0.491,  24
 17,  0.526,  0.048,                                                    --++,  0.539,  27
 18,  0.526,  0.046,                                                    --++,  0.533,  33
 19,  0.524,  0.046,                                                    --++,  0.487,  52
 20,  0.523,  0.045,                                                    --++,  0.506,  56
 21,  0.520,  0.047,                                                   --++,  0.448,  57
 22,  0.517,  0.048,                                                   --++,  0.449,  66
 23,  0.514,  0.048,                                                   --++,  0.457,  67
 24,  0.511,  0.050,                                                   --++,  0.443,  70
 25,  0.506,  0.054,                                                  --++,  0.394,  72
 26,  0.504,  0.055,                                                  --++,  0.434,  74
 27,  0.502,  0.055,                                                  --++,  0.450,  75
 28,  0.502,  0.054,                                                  --++,  0.524,  77
 29,  0.506,  0.056,                                                  --++,  0.609,  80
 30,  0.503,  0.058,                                                  --++,  0.408,  82
