 N,  Mu,  Sd,  Var,  Curd2h,  Budget
 4,  0.608,  0.411,                                          --------------------++++++++++++++++++++,  0.000,  0
 5,  0.486,  0.448,                            ----------------------++++++++++++++++++++++,  0.000,  1
 6,  0.551,  0.431,                                    ---------------------+++++++++++++++++++++,  0.879,  2
 7,  0.596,  0.411,                                         --------------------++++++++++++++++++++,  0.863,  3
 8,  0.521,  0.435,                                 ---------------------+++++++++++++++++++++,  0.000,  4
 9,  0.560,  0.423,                                     ---------------------+++++++++++++++++++++,  0.870,  5
 10,  0.592,  0.411,                                         --------------------++++++++++++++++++++,  0.876,  6
 11,  0.603,  0.392,                                           -------------------+++++++++++++++++++,  0.710,  7
 12,  0.552,  0.412,                                     --------------------++++++++++++++++++++,  0.000,  8
 13,  0.564,  0.397,                                       -------------------+++++++++++++++++++,  0.710,  9
 14,  0.587,  0.390,                                         -------------------+++++++++++++++++++,  0.876,  10
 15,  0.604,  0.382,                                           -------------------+++++++++++++++++++,  0.849,  11
 16,  0.611,  0.370,                                             ------------------++++++++++++++++++,  0.714,  12
 17,  0.626,  0.364,                                              ------------------++++++++++++++++++,  0.861,  13
 18,  0.630,  0.353,                                                -----------------+++++++++++++++++,  0.710,  14
 19,  0.597,  0.373,                                           ------------------++++++++++++++++++,  0.000,  15
 20,  0.567,  0.386,                                       -------------------+++++++++++++++++++,  0.000,  16
 21,  0.540,  0.396,                                     -------------------+++++++++++++++++++,  0.000,  17
 22,  0.555,  0.393,                                      -------------------+++++++++++++++++++,  0.870,  18
 23,  0.531,  0.401,                                   --------------------++++++++++++++++++++,  0.000,  19
 24,  0.509,  0.407,                                --------------------++++++++++++++++++++,  0.000,  20
 25,  0.524,  0.405,                                  --------------------++++++++++++++++++++,  0.876,  21
 26,  0.537,  0.403,                                   --------------------++++++++++++++++++++,  0.865,  22
 27,  0.543,  0.396,                                     -------------------+++++++++++++++++++,  0.710,  23
 28,  0.550,  0.390,                                     -------------------+++++++++++++++++++,  0.724,  24
 29,  0.561,  0.388,                                       -------------------+++++++++++++++++++,  0.890,  25
 30,  0.566,  0.383,                                       -------------------+++++++++++++++++++,  0.710,  26
