Col0,Col1,EFFORT-,MONTHS-,DEFECTS-,RISKS-
1.945770263671875,1.8050614595413208,419.92,23.236,5465.171,1.072
2.5302481651306152,2.089681625366211,398.979,23.359,1760.318,1.072
1.6750880479812622,1.2042659521102905,2024.817,37.587,9076.084,0.536
1.831628680229187,1.4720622301101685,620.247,26.164,3148.679,1.609
1.1514225006103516,0.5701266527175903,969.724,30.586,2605.224,0.0
0.47793030738830566,1.5473567247390747,732.676,27.865,7683.769,2.413
1.1779261827468872,1.581375002861023,1275.728,33.323,11902.666,0.268
1.2721432447433472,2.1891255378723145,820.455,28.982,4527.902,0.268
1.8297580480575562,1.6996283531188965,390.675,23.008,992.243,0.0
2.168043375015259,2.277106285095215,938.42,30.004,5681.274,0.268
2.5614497661590576,2.068632125854492,649.054,25.052,3617.948,0.268
1.6380553245544434,1.377036452293396,288.912,20.458,1702.494,0.536
1.6410917043685913,1.9651159048080444,551.123,25.394,3311.07,1.072
2.2875688076019287,1.3214157819747925,93.212,14.609,1056.393,1.34
1.959360122680664,0.929529070854187,865.306,29.436,9854.235,2.681
2.243349075317383,1.9694932699203491,191.008,18.33,493.882,0.536
2.444072723388672,1.4970738887786865,393.82,22.78,2286.238,1.877
1.863202452659607,1.0109972953796387,1451.768,34.521,22922.346,2.949
1.9104527235031128,1.8400053977966309,613.378,25.087,3148.708,0.536
2.6674249172210693,2.508547782897949,892.796,28.267,2825.454,0.0
2.1966612339019775,2.884033679962158,176.61,17.47,2939.11,1.34
2.7989087104797363,2.5673420429229736,475.31,23.027,12229.439,2.145
1.6541223526000977,2.37772798538208,2593.926,40.306,9798.358,0.268
1.0267280340194702,0.8009451031684875,1796.676,38.081,25045.604,1.609
3.316837787628174,3.4022772312164307,97.508,14.003,618.058,2.145
2.3597898483276367,1.345744252204895,668.756,26.355,1958.089,2.145
1.8994545936584473,1.9677046537399292,544.5,24.031,4231.728,0.0
1.4411462545394897,0.535555899143219,1385.447,34.672,6999.043,1.609
2.3990399837493896,1.403838038444519,350.383,21.949,1613.783,0.0
2.4928433895111084,1.9584213495254517,786.151,27.521,10899.032,2.145
2.249154806137085,1.584725260734558,1173.028,32.342,4219.3,0.0
1.8650081157684326,1.7363289594650269,326.747,21.356,4716.406,1.072
1.7117706537246704,1.5538673400878906,712.793,27.762,11132.867,2.681
2.240785837173462,2.4695770740509033,224.832,18.807,1394.578,1.609
2.221411943435669,2.7274792194366455,592.928,24.578,4400.168,1.072
1.6568522453308105,0.596879780292511,260.769,20.542,1385.065,0.0
1.2508121728897095,1.1923686265945435,1023.407,29.505,5687.427,1.072
1.876587152481079,1.512264370918274,597.965,25.602,6576.786,1.072
1.3181325197219849,1.7019978761672974,1257.877,32.644,21036.781,1.072
2.235405921936035,1.2215677499771118,824.712,28.331,6289.789,1.609
2.2667832374572754,2.742380380630493,692.706,26.53,6230.92,0.0
2.332798957824707,1.7969673871994019,1103.644,30.553,5666.604,1.34
2.50304913520813,1.7838871479034424,668.659,27.278,6568.701,0.804
1.706275224685669,0.9843330383300781,844.261,28.238,19754.189,2.681
2.8290090560913086,1.9838095903396606,152.816,17.443,601.749,0.804
2.256531000137329,0.9010336995124817,789.66,27.48,8827.187,1.34
2.4597411155700684,2.2178568840026855,401.881,22.39,2560.056,1.609
2.7522530555725098,0.953895628452301,653.803,25.489,3063.751,0.0
1.9018670320510864,0.8036808371543884,381.331,22.926,3130.692,1.877
2.453728437423706,1.1911611557006836,154.285,17.675,1199.117,1.609
2.78727650642395,2.424849510192871,30.146,10.3,113.245,1.072
1.8410944938659668,2.3616385459899902,504.338,24.379,3358.69,1.072
2.040175199508667,1.7533444166183472,2355.696,40.243,11204.307,0.536
3.306893825531006,2.0806984901428223,535.935,24.758,2690.609,2.145
2.820371627807617,2.7661843299865723,397.171,21.543,1826.036,2.145
1.6644103527069092,1.8989964723587036,817.597,29.302,6994.857,0.0
1.3805586099624634,2.0869460105895996,1233.209,31.237,3888.82,0.0
2.9659676551818848,2.5511107444763184,122.948,15.224,786.605,3.217
3.0918805599212646,2.452502727508545,515.235,23.786,1549.388,0.0
1.4792746305465698,2.406083822250366,1293.345,33.571,11636.062,2.145
1.2846585512161255,1.045182228088379,847.719,29.687,12638.762,2.145
2.919954776763916,1.53592050075531,1246.0,32.001,17598.891,1.609
1.6239396333694458,1.4308265447616577,153.003,17.161,610.857,0.268
2.002422571182251,2.2396936416625977,337.101,21.424,1231.124,1.072
1.257102131843567,1.8160955905914307,1790.094,35.093,10584.984,0.268
1.2718446254730225,0.9082030057907104,570.619,26.628,4844.726,0.804
1.8772711753845215,1.2576978206634521,1009.694,30.256,6810.465,2.681
1.8447257280349731,2.514704942703247,1413.925,32.944,5209.498,0.536
1.5150833129882812,1.6077860593795776,374.052,21.936,5832.426,3.217
2.7422542572021484,2.5208961963653564,263.071,19.749,882.389,1.072
2.075608015060425,1.5564250946044922,803.323,29.168,6942.997,1.877
1.7656540870666504,1.478501319885254,1233.964,33.087,11883.947,2.145
1.2601161003112793,2.2986679077148438,1342.964,33.312,7055.508,0.0
