twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,Threads,TokenParts,ArnrMaxFrames,ArnrStrength,Performance-,Energy-,Cpu-
0,1,0,0,1,0,0,0,0,1,0,0,0,8190.6,355.2,29.555556
0,1,0,0,1,0,0,0,0,2,0,0,0,6502.4,274.6,38.810952
0,1,0,0,1,0,0,0,0,3,0,0,0,5856.2,284,41.778
0,1,0,0,1,0,0,0,0,4,0,0,0,5661,273,42.725333
0,1,0,0,1,0,0,0,0,1,1,0,0,8250.6,339,30.599444
0,1,0,0,1,0,0,0,0,2,1,0,0,6592.6,287.6,38.687143
0,1,0,0,1,0,0,0,0,3,1,0,0,5863,283.6,45.326667
0,1,0,0,1,0,0,0,0,4,1,0,0,5409,272.4,42.23
0,1,0,0,1,0,0,0,0,1,2,0,0,8265.8,331.6,29.898333
0,1,0,0,1,0,0,0,0,2,2,0,0,6649.2,271.8,38.860476
0,1,0,0,1,0,0,0,0,3,2,0,0,5948.8,313.8,44.006762
0,1,0,0,1,0,0,0,0,4,2,0,0,5656.6,299,45.346
0,1,0,0,1,0,0,0,0,1,0,5,0,8290.2,336.4,30.040278
0,1,0,0,1,0,0,0,0,2,0,5,0,6439.6,274.2,39.874286
0,1,0,0,1,0,0,0,0,3,0,5,0,5871.6,315.2,45.263334
0,1,0,0,1,0,0,0,0,4,0,5,0,5569,275,46.604
0,1,0,0,1,0,0,0,0,1,1,5,0,8330.8,336.2,31.014722
0,1,0,0,1,0,0,0,0,2,1,5,0,6501.4,314.2,38.538571
0,1,0,0,1,0,0,0,0,3,1,5,0,5848.2,316.8,42.215333
0,1,0,0,1,0,0,0,0,4,1,5,0,5589.2,248.8,47.823333
0,1,0,0,1,0,0,0,0,1,2,5,0,8219.8,363.2,27.4425
0,1,0,0,1,0,0,0,0,2,2,5,0,6419,311,37.072857
0,1,0,0,1,0,0,0,0,3,2,5,0,6111.4,299.6,45.149047
0,1,0,0,1,0,0,0,0,4,2,5,0,5640,286.6,43.708
0,1,0,0,1,0,0,0,0,1,0,15,0,8216.8,321.2,30.175278
0,1,0,0,1,0,0,0,0,2,0,15,0,6447.8,256.2,40.30381
0,1,0,0,1,0,0,0,0,3,0,15,0,5960,320.2,46.035238
0,1,0,0,1,0,0,0,0,4,0,15,0,5626,292.2,47.797333
0,1,0,0,1,0,0,0,0,1,1,15,0,8375.4,317.2,30.359167
0,1,0,0,1,0,0,0,0,2,1,15,0,6255,260.8,37.885714
0,1,0,0,1,0,0,0,0,3,1,15,0,5969.6,306.8,44.51
0,1,0,0,1,0,0,0,0,4,1,15,0,5690.8,280.6,47.523333
0,1,0,0,1,0,0,0,0,1,2,15,0,8131,318.6,28.719722
0,1,0,0,1,0,0,0,0,2,2,15,0,6454.4,266.4,37.897619
0,1,0,0,1,0,0,0,0,3,2,15,0,5781,273.8,39.479333
0,1,0,0,1,0,0,0,0,4,2,15,0,5526.6,243.8,42.888
0,1,0,0,1,0,0,0,0,1,0,0,3,8303.8,328.8,28.346667
0,1,0,0,1,0,0,0,0,2,0,0,3,6471.6,304.6,36.636667
0,1,0,0,1,0,0,0,0,3,0,0,3,5881.2,298.6,45.039333
0,1,0,0,1,0,0,0,0,4,0,0,3,5631.2,284,48.195333
0,1,0,0,1,0,0,0,0,1,1,0,3,8056.6,339,29.971111
