twoPass,quality,bestQuality,goodQuality,rtQuality,constantBitrate,autoAltRef,noAltRef,allowResize,columnTiling,rowTiling,Threads,ArnrMaxFrames,ArnrStrength,Performance-,Cpu-
0,1,0,0,1,0,0,0,0,0,0,1,0,0,86920.4,3.881844
0,1,0,0,1,0,0,0,0,0,0,2,0,0,86441.2,3.863023
0,1,0,0,1,0,0,0,0,0,0,4,0,0,86236,3.896279
0,1,0,0,1,0,0,0,0,0,0,8,0,0,86426.6,3.940698
0,1,0,0,1,0,0,0,0,0,0,1,5,0,86707.4,3.864857
0,1,0,0,1,0,0,0,0,0,0,2,5,0,86448,3.845383
0,1,0,0,1,0,0,0,0,0,0,4,5,0,86558.4,3.78093
0,1,0,0,1,0,0,0,0,0,0,8,5,0,86496,3.926744
0,1,0,0,1,0,0,0,0,0,0,1,15,0,86420.6,3.97003
0,1,0,0,1,0,0,0,0,0,0,2,15,0,86397.8,3.879767
0,1,0,0,1,0,0,0,0,0,0,4,15,0,86329,3.766544
0,1,0,0,1,0,0,0,0,0,0,8,15,0,86838.6,3.936249
0,1,0,0,1,0,0,0,0,0,0,1,0,3,86543.4,3.837359
0,1,0,0,1,0,0,0,0,0,0,2,0,3,86447.2,3.839598
0,1,0,0,1,0,0,0,0,0,0,4,0,3,86673.2,3.854854
0,1,0,0,1,0,0,0,0,0,0,8,0,3,86499.8,3.873023
0,1,0,0,1,0,0,0,0,0,0,1,5,3,86464,3.953721
0,1,0,0,1,0,0,0,0,0,0,2,5,3,86340.2,3.913023
0,1,0,0,1,0,0,0,0,0,0,4,5,3,86369.6,3.814884
0,1,0,0,1,0,0,0,0,0,0,8,5,3,86393.4,3.839262
0,1,0,0,1,0,0,0,0,0,0,1,15,3,86449.4,3.910232
0,1,0,0,1,0,0,0,0,0,0,2,15,3,86572.8,3.868516
0,1,0,0,1,0,0,0,0,0,0,4,15,3,86338.2,3.901283
0,1,0,0,1,0,0,0,0,0,0,8,15,3,86263.8,3.903548
0,1,0,0,1,0,0,0,0,0,0,1,0,6,86546.4,4.105506
0,1,0,0,1,0,0,0,0,0,0,2,0,6,86715.2,3.909276
0,1,0,0,1,0,0,0,0,0,0,4,0,6,86639,3.866744
0,1,0,0,1,0,0,0,0,0,0,8,0,6,86490.2,3.848692
0,1,0,0,1,0,0,0,0,0,0,1,5,6,86447.8,3.916423
0,1,0,0,1,0,0,0,0,0,0,2,5,6,86530.2,3.732657
0,1,0,0,1,0,0,0,0,0,0,4,5,6,86639.6,3.975049
0,1,0,0,1,0,0,0,0,0,0,8,5,6,86327.2,3.866334
0,1,0,0,1,0,0,0,0,0,0,1,15,6,86351.2,3.863721
0,1,0,0,1,0,0,0,0,0,0,2,15,6,86617.4,4.036047
0,1,0,0,1,0,0,0,0,0,0,4,15,6,86484,3.910307
0,1,0,0,1,0,0,0,0,0,0,8,15,6,86665.2,3.877295
0,1,0,0,1,0,0,0,0,0,1,1,0,0,86784.6,3.869776
0,1,0,0,1,0,0,0,0,0,1,2,0,0,86925.2,3.906629
0,1,0,0,1,0,0,0,0,0,1,4,0,0,87072,3.90711
0,1,0,0,1,0,0,0,0,0,1,8,0,0,86632.6,3.859738
0,1,0,0,1,0,0,0,0,0,1,1,5,0,86481.6,3.815116
0,1,0,0,1,0,0,0,0,0,1,2,5,0,86855.2,3.749767
0,1,0,0,1,0,0,0,0,0,1,4,5,0,86698.4,3.80123
0,1,0,0,1,0,0,0,0,0,1,8,5,0,86717.4,3.92267
0,1,0,0,1,0,0,0,0,0,1,1,15,0,86689.4,3.882791
0,1,0,0,1,0,0,0,0,0,1,2,15,0,86433.8,3.789661
0,1,0,0,1,0,0,0,0,0,1,4,15,0,87178.6,3.904598
0,1,0,0,1,0,0,0,0,0,1,8,15,0,86937.4,4.071374
0,1,0,0,1,0,0,0,0,0,1,1,0,3,86696.4,3.833678
0,1,0,0,1,0,0,0,0,0,1,2,0,3,86866.2,3.91988
0,1,0,0,1,0,0,0,0,0,1,4,0,3,86661.6,3.893521
0,1,0,0,1,0,0,0,0,0,1,8,0,3,86868.2,3.901855
0,1,0,0,1,0,0,0,0,0,1,1,5,3,86580.2,4.004611
0,1,0,0,1,0,0,0,0,0,1,2,5,3,86656,3.920933
0,1,0,0,1,0,0,0,0,0,1,4,5,3,86661.2,3.927518
0,1,0,0,1,0,0,0,0,0,1,8,5,3,86712.2,3.871043
0,1,0,0,1,0,0,0,0,0,1,1,15,3,86913.4,3.835167
0,1,0,0,1,0,0,0,0,0,1,2,15,3,86908.8,3.909668
0,1,0,0,1,0,0,0,0,0,1,4,15,3,86901.8,3.921139
0,1,0,0,1,0,0,0,0,0,1,8,15,3,86469.2,3.876205
0,1,0,0,1,0,0,0,0,0,1,1,0,6,86404.2,3.824867
0,1,0,0,1,0,0,0,0,0,1,2,0,6,86621.8,3.821395
0,1,0,0,1,0,0,0,0,0,1,4,0,6,86612.8,3.920698
0,1,0,0,1,0,0,0,0,0,1,8,0,6,86700.4,3.834052
0,1,0,0,1,0,0,0,0,0,1,1,5,6,86698.8,3.915056
0,1,0,0,1,0,0,0,0,0,1,2,5,6,86770.2,3.86583
0,1,0,0,1,0,0,0,0,0,1,4,5,6,86636.4,3.882326
0,1,0,0,1,0,0,0,0,0,1,8,5,6,86712.2,3.962831
0,1,0,0,1,0,0,0,0,0,1,1,15,6,86924,3.911949
0,1,0,0,1,0,0,0,0,0,1,2,15,6,86944.2,3.910337
0,1,0,0,1,0,0,0,0,0,1,4,15,6,86993.8,3.819369
0,1,0,0,1,0,0,0,0,0,1,8,15,6,86801.8,3.698605
0,1,0,0,1,0,0,0,0,1,0,1,0,0,87335.2,3.845172
0,1,0,0,1,0,0,0,0,1,0,2,0,0,53574.2,6.278015
0,1,0,0,1,0,0,0,0,1,0,4,0,0,53410,6.480755
0,1,0,0,1,0,0,0,0,1,0,8,0,0,53369.2,6.406792
0,1,0,0,1,0,0,0,0,1,0,1,5,0,86993.6,3.909425
0,1,0,0,1,0,0,0,0,1,0,2,5,0,53543.2,6.427372
0,1,0,0,1,0,0,0,0,1,0,4,5,0,53489.6,6.434808
0,1,0,0,1,0,0,0,0,1,0,8,5,0,53529,6.383382
0,1,0,0,1,0,0,0,0,1,0,1,15,0,87212.2,3.856437
0,1,0,0,1,0,0,0,0,1,0,2,15,0,53727.8,6.456471
0,1,0,0,1,0,0,0,0,1,0,4,15,0,53685.6,6.474514
0,1,0,0,1,0,0,0,0,1,0,8,15,0,53537,6.433683
0,1,0,0,1,0,0,0,0,1,0,1,0,3,86947.8,3.858356
0,1,0,0,1,0,0,0,0,1,0,2,0,3,53718,6.483194
0,1,0,0,1,0,0,0,0,1,0,4,0,3,53616,6.449476
0,1,0,0,1,0,0,0,0,1,0,8,0,3,53443.2,6.388106
0,1,0,0,1,0,0,0,0,1,0,1,5,3,87377.2,3.896001
0,1,0,0,1,0,0,0,0,1,0,2,5,3,53721.2,6.44884
0,1,0,0,1,0,0,0,0,1,0,4,5,3,53654.8,6.200992
0,1,0,0,1,0,0,0,0,1,0,8,5,3,53472.8,6.355842
0,1,0,0,1,0,0,0,0,1,0,1,15,3,87246.2,3.874232
0,1,0,0,1,0,0,0,0,1,0,2,15,3,53576.8,6.512914
0,1,0,0,1,0,0,0,0,1,0,4,15,3,53508.8,6.429057
0,1,0,0,1,0,0,0,0,1,0,8,15,3,53374.2,6.489434
0,1,0,0,1,0,0,0,0,1,0,1,0,6,87452.4,3.887816
0,1,0,0,1,0,0,0,0,1,0,2,0,6,53502.4,6.55434
0,1,0,0,1,0,0,0,0,1,0,4,0,6,53433,6.316227
0,1,0,0,1,0,0,0,0,1,0,8,0,6,53416.4,6.407163
0,1,0,0,1,0,0,0,0,1,0,1,5,6,87238.4,3.878912
0,1,0,0,1,0,0,0,0,1,0,2,5,6,53512.2,6.458644
0,1,0,0,1,0,0,0,0,1,0,4,5,6,53511.6,6.40051
0,1,0,0,1,0,0,0,0,1,0,8,5,6,53260.6,6.456604
0,1,0,0,1,0,0,0,0,1,0,1,15,6,87201.4,3.900332
0,1,0,0,1,0,0,0,0,1,0,2,15,6,53426.4,6.549811
0,1,0,0,1,0,0,0,0,1,0,4,15,6,53607.6,6.332928
0,1,0,0,1,0,0,0,0,1,0,8,15,6,53593,6.458658
0,1,0,0,1,0,0,0,0,1,1,1,0,0,86178,3.895806
0,1,0,0,1,0,0,0,0,1,1,2,0,0,53731.8,6.485597
0,1,0,0,1,0,0,0,0,1,1,4,0,0,53410,6.506415
0,1,0,0,1,0,0,0,0,1,1,8,0,0,53489.2,6.269811
0,1,0,0,1,0,0,0,0,1,1,1,5,0,86300.6,3.893804
0,1,0,0,1,0,0,0,0,1,1,2,5,0,53688.8,6.432858
0,1,0,0,1,0,0,0,0,1,1,4,5,0,53482,6.235178
0,1,0,0,1,0,0,0,0,1,1,8,5,0,53500.8,6.355716
0,1,0,0,1,0,0,0,0,1,1,1,15,0,86313,3.834049
0,1,0,0,1,0,0,0,0,1,1,2,15,0,53847.8,6.410426
0,1,0,0,1,0,0,0,0,1,1,4,15,0,53384,6.353208
0,1,0,0,1,0,0,0,0,1,1,8,15,0,53498.2,6.487925
0,1,0,0,1,0,0,0,0,1,1,1,0,3,86188.8,3.832528
0,1,0,0,1,0,0,0,0,1,1,2,0,3,53903.4,6.416171
0,1,0,0,1,0,0,0,0,1,1,4,0,3,53560.4,6.477533
0,1,0,0,1,0,0,0,0,1,1,8,0,3,53514,6.48
0,1,0,0,1,0,0,0,0,1,1,1,5,3,86339.6,3.893721
0,1,0,0,1,0,0,0,0,1,1,2,5,3,53901.4,6.398588
0,1,0,0,1,0,0,0,0,1,1,4,5,3,53671.2,6.464745
0,1,0,0,1,0,0,0,0,1,1,8,5,3,53334.6,6.520377
0,1,0,0,1,0,0,0,0,1,1,1,15,3,86534.2,3.882326
0,1,0,0,1,0,0,0,0,1,1,2,15,3,53678.2,6.364675
0,1,0,0,1,0,0,0,0,1,1,4,15,3,53393.4,6.473585
0,1,0,0,1,0,0,0,0,1,1,8,15,3,53748.8,6.302292
0,1,0,0,1,0,0,0,0,1,1,1,0,6,86409.4,3.925494
0,1,0,0,1,0,0,0,0,1,1,2,0,6,53586.4,6.441125
0,1,0,0,1,0,0,0,0,1,1,4,0,6,53422,6.350189
0,1,0,0,1,0,0,0,0,1,1,8,0,6,53418.4,6.362774
0,1,0,0,1,0,0,0,0,1,1,1,5,6,86464.2,3.930465
