no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,core,core1,core2,core3,core4,Benchmark-iperf-,Benchmark-cpu-
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,23.546,89.044529
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,87.212,25.587356
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,46.012,48.246454
1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,31.444,69.455685
1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,31.65,92.49262
1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,117.91,25.505321
1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,62.598,47.904286
1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,43.274,68.465399
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,42.854,92.175426
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,157.852,25.496493
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,84.094,47.758561
1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,58.876,68.544684
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,23.47,89.95384
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,87.288,25.686808
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,46.128,47.835556
1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,31.206,69.79811
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,31.816,91.987762
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,118.142,25.69568
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,62.532,47.755524
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,43.57,68.913815
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,43.26,92.031163
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,157.898,25.620526
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,84.032,47.834219
1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,58.714,68.939088
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,23.416,89.888659
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,87.206,25.798172
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,46.24,48.491304
1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,31.464,69.956169
1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,31.73,91.427863
1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,118.508,26.105327
1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,62.674,48.232137
1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,43.294,68.983033
1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,42.686,92.598483
1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,157.894,25.575913
1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,84.078,47.773724
1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,58.82,68.898667
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,23.102,92.338485
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,86.792,25.599808
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,45.928,47.919372
1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,31.164,68.780816
1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,31.514,91.477439
1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,117.588,25.444327
1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,62.468,47.616521
1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,43.236,67.746276
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,42.72,92.404538
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,157.16,25.435442
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,84.112,47.870812
1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,58.796,68.087896
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,23.062,90.710435
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,86.896,25.577354
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,46.038,47.866087
1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,30.992,69.335828
1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,31.662,91.543891
1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,117.354,25.546423
1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,62.598,47.342447
1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,43.26,68.357206
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,42.7,91.602325
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,157.242,25.549177
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,84.156,47.92081
1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,58.854,68.028843
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,23.302,89.986996
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,86.718,25.772406
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,45.858,48.072831
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,31.044,69.223097
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,31.744,92.236649
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,117.374,25.580743
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,62.43,47.936077
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,43.158,68.455914
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,42.526,92.386268
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,157.34,25.466539
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,83.976,47.760612
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,58.642,68.728538
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,23.24,91.274493
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,87.264,25.672331
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,46.154,47.813488
1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,31.16,69.930968
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,36.032,91.162928
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,133.236,25.55467
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,70.876,47.528982
1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,50.178,66.421718
1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,50.35,91.226165
1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,184.806,25.473802
1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,99.084,47.259113
1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,71.092,65.956774
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,23.408,91.406528
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,87.328,25.532693
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,46.448,47.889981
1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,31.094,69.020645
1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,36.216,90.728574
1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,133.016,25.355789
1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,70.848,47.074507
1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,50.042,67.1904
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,50.322,91.406486
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,184.54,25.348245
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,98.686,47.564385
1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,71.328,65.998442
1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,23.374,90.955
