journal,nojournal,journalCompression,journalCompressionSnappy,journalCompressionZlib,ssl,networkCompression,networkCompressionSnappy,networkCompressionZlib,wireObjectCheck,dataCompression,dataCompressionSnappy,dataCompressionZlib,indexPrefixCompression,journalCommitInterval,CacheSize,Performance-,Cpu-
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.256,213141.8,26.033276
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.512,210227.4,24.958921
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.024,208212,24.701132
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.048,206356,24.124592
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.096,212538.2,24.19921
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.256,289875,30.631693
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.512,282382,30.073811
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1.024,281613,30.275882
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.048,280991.2,30.53404
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.096,285044.6,29.917772
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.256,210540.4,25.44205
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0.512,211658.2,24.679534
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1.024,210459.4,25.070289
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2.048,212133.2,25.026757
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4.096,212470.4,25.061845
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.256,285264,30.962516
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0.512,281682,30.454914
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1.024,287855.4,30.797619
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2.048,284911.2,30.640518
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,4.096,284776.6,30.557679
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.256,210550.6,24.586929
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.512,208790.8,24.917749
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1.024,213360.2,25.028118
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2.048,209169.4,24.911732
